#name, QN(filename), freq (GHz), mol(plot), QN(plot), Aul (log s^-1), Eul (K), cat, NOEMAbb, unit, width (km/s), 30msetup, 30mbb, 30mwidth (km/s)
DCO+,1_0,72.0393122,DCO\u+,1-0,-4.16326,3.45732,CDMS,lo,L09,10.0,Setup2,LO,20,5
CCD,1_3_2_5_2_0_1_2_3_2,72.1077205,CCD,"N=1-0,J=3/2-1/2,F=5/2-3/2",-6.06543,3.46108,CDMS,lo,L09,10.0,Setup2,LO,20,5
CCD,1_3_2_1_2_0_1_2_1_2,72.1090504,CCD,"N=1-0,J=3/2-1/2,F=1/2-1/2",-6.1058,3.46071,CDMS,lo,L09,10.0,Setup2,LO,20,5
DCN,1_0,72.41469360,DCN,1-0,-3.33964,20.85164,CDMS,lo,L10,10.0,Setup2,LO,20,10
H2CO,5_1_4_5_1_5,72.4090832,H\d2CO,"5(1,4)-5(1,5)",-6.096,65.92727,CDMS,lo,L10,10.0,Setup2,LO,20,5
SO2,6_0_6_5_1_5,72.7582434,SO\d2,"6(0,6)-5(1,5)",-5.55777,19.15484,CDMS,lo,L11,10.0,Setup2,LO,20,5
HC3N,8_7,72.783822,HC\d3N,8-7,-4.53147,15.71885,CDMS,lo,L11,10.0,Setup2,LO,20,5
H2CO,1_0_1_0_0_0,72.837948,H\d2CO,"1(0,1)-0(0,0)",-5.08874,3.49565,CDMS,lo,L11,10.0,Setup2,LO,20,5
HCNH+,1_0,74.1113017,HCNH\u+,1-0,-6.87677,3.55676,CDMS,lo,L13,10.0,Setup2,LO,20,5
C4H-,8_7,74.477911,C\d4H\u-,8-7,-4.06199,16.08474,CDMS,lo,L14,10.0,Setup2,LO,20,5
C4H,8_8_7_7,76.1174313,C\d4H,"N=8-7,J=17/2-15/2,F=8-7",-4.97586,16.43627,CDMS,li,L15,10.0,Setup2,LO,20,5
C4H,8_7_7_6,76.1560273,C\d4H,"N=8-7,J=15/2-13/2,F=7-6",-4.97966,16.4515,CDMS,li,L15,10.0,Setup2,LO,20,5
DNC,1_0,76.305727,DNC,1-0,-4.7949,3.66208,CDMS,li,L15,10.0,Setup2,LO,20,5
SO2,10_1_9_9_2_8,76.4121652,SO\d2,"10(1,9)-9(2,8)",-5.79992,54.71139,CDMS,li,L15,10.0,Setup2,LO,20,5
CH3OH,5_0_5_4_-1_3_E,76.509684,CH\d3OH,"5(0,5)-4(-1,3)E,vt=0",-6.04693,47.93472,CDMS,li,L15,10.0,Setup2,LO,20,5
